"filename", "language", "PHP", "JavaScript", "Markdown", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\README.md", "Markdown", 0, 0, 797, 0, 0, 0, 0, 26, 823
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\LoginController.php", "PHP", 44, 0, 0, 0, 0, 0, 16, 13, 73
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\MedidaController.php", "PHP", 248, 0, 0, 0, 0, 0, 18, 43, 309
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\MoleculaCaloricaController.php", "PHP", 127, 0, 0, 0, 0, 0, 25, 30, 182
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\PacienteController.php", "PHP", 186, 0, 0, 0, 0, 0, 19, 33, 238
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\RequerimientoNutricionalController.php", "PHP", 194, 0, 0, 0, 0, 0, 34, 36, 264
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\SeguimientoController.php", "PHP", 167, 0, 0, 0, 0, 0, 3, 37, 207
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Http\Controllers\UsuarioController.php", "PHP", 241, 0, 0, 0, 0, 0, 9, 39, 289
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\Evaluacion.php", "PHP", 66, 0, 0, 0, 0, 0, 2, 11, 79
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\FrisanchoRef.php", "PHP", 22, 0, 0, 0, 0, 0, 1, 7, 30
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\Medida.php", "PHP", 38, 0, 0, 0, 0, 0, 1, 10, 49
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\MoleculaCalorica.php", "PHP", 109, 0, 0, 0, 0, 0, 22, 27, 158
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\OmsRef.php", "PHP", 23, 0, 0, 0, 0, 0, 1, 7, 31
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\Paciente.php", "PHP", 69, 0, 0, 0, 0, 0, 1, 24, 94
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\RequerimientoNutricional.php", "PHP", 74, 0, 0, 0, 0, 0, 25, 18, 117
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\Tutor.php", "PHP", 42, 0, 0, 0, 0, 0, 1, 11, 54
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Models\User.php", "PHP", 48, 0, 0, 0, 0, 0, 18, 11, 77
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\bootstrap\app.php", "PHP", 20, 0, 0, 0, 0, 0, 1, 4, 25
